Fecha;PIB ANUAL;VAR PIB(%)
2022;;2,90%
2021;89.703 M€;4,20%
2020;87.000 M€;-7,80%
2019;96.560 M€;0,00%
2018;91.039 M€;1,30%
2017;92.356 M€;2,40%
2016;90.311 M€;-1,20%
2015;89.481 M€;0,10%
2014;76.552 M€;3,80%
2013;71.627 M€;4,90%
2012;68.392 M€;5,60%
2011;56.964 M€;7,90%
2010;52.423 M€;3,50%
2009;44.873 M€;0,60%
2008;41.999 M€;6,40%
2007;37.215 M€;2,20%
2006;37.273 M€;4,40%
2005;33.345 M€;5,30%
2004;29.430 M€;8,20%
2003;28.680 M€;2,70%
2002;30.214 M€;4,10%
2001;27.319 M€;4,00%
2000;19.825 M€;1,10%
1999;18.503 M€;-4,70%
1998;;3,30%
1997;;4,30%
1996;;1,70%
1995;;2,30%
1994;;4,30%
1993;;2,00%
1992;;3,60%
1991;;5,10%
1990;;3,00%
1989;;0,30%
1988;;10,50%
1987;;-6,00%
1986;;3,10%
1985;;4,40%
1984;;4,20%
1983;;-2,80%
1982;;1,20%
1981;;3,90%
1980;;4,90%
1979;;3,70%
1978;;5,70%
1977;;1,60%
1976;;7,40%
1975;;11,00%
1974;;11,20%
1973;;14,00%
1972;;5,00%
1971;;6,30%
1970;;6,90%
1969;;4,70%
1968;;1,90%
1967;;4,60%
1966;;-0,30%
1965;;3,30%
1964;;7,40%
1963;;2,10%
1962;;4,90%
1961;;5,10%
1960;;
